Model,MAE,RMSE,R2 Score
Linear Regression,171060.47085790205,258365.69267576424,0.7039250254675733
Decision Tree Regressor,224067.25761336097,352324.54928067164,0.4494233097799446
Random Forest Regressor,167200.87775846903,251271.7840003642,0.7199603945575048
